title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,answer,image
Free time,radio,空闲时间,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,A,,,,,
,radio,兴趣,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,B,,,,,
,radio,收集,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,C,,,,,
,radio,杂志,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,D,,,,,
,radio,电脑,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,E,,,,,
,radio,运动；练习,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,F,,,,,
,radio,活动,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,G,,,,,
,radio,卡通,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,H,,,,,
,radio,键盘；电子琴,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,I,,,,,
,radio,练习,free time,interest,collect,magazine,computer,exercise,activity,cartoon,keyboard,practice,J,,,,,
,radio,周末,weekend,favourite,indoor,outdoor,interest,collect,magazine,computer,exercise,activity,K,,,,,
,radio,最喜欢的,weekend,favourite,indoor,outdoor,interest,collect,magazine,computer,exercise,activity,L,,,,,
,radio,室内的,weekend,favourite,indoor,outdoor,interest,collect,magazine,computer,exercise,activity,M,,,,,
,radio,户外的,weekend,favourite,indoor,outdoor,interest,collect,magazine,computer,exercise,activity,N ,,,,,
